hg19_KSHV	gtffile	file-FXJkbVQ0xx3xB0BB9bGQQYG2
hg19_KSHV	annotategenes	file-FbFK4Z00xx3vYV1b2FF00006
hg19_KSHV	rrnalist	file-FXJkqQ00xx3zv0GjF2GjYPf0
hg19_KSHV	rsemindex	file-FXJp5kj0y3jJyQ6PFG8VbVpz
hg19_KSHV	refflat	file-FXJkbg00xx3bPbj5F2fQY0j4
hg19_KSHV	100_2.6.0a	file-FXKJ9f80xx3bV3V3KqfVq3v9
hg19_KSHV	125_2.6.0a	file-FXKJGJ00xx3fFXK09b8VXzXX
hg19_KSHV	150_2.6.0a	file-FXKJP600xx3qqjzQ8vqK0vzV
hg19_KSHV	50_2.6.0a	file-FXKJ4Jj0xx3y0bqJBFQqkGxJ
hg19_KSHV	75_2.6.0a	file-FXKJ6zQ0xx3X3bF58Yv2KJqJ
hg19_KSHV	100_2.7.0f	file-FbBz2JQ0vyfQzyJx4FQKvF71
hg19_KSHV	125_2.7.0f	file-FbBz3FQ0vyfpyZQ08FyzY2jb
hg19_KSHV	150_2.7.0f	file-FbBz4980vyfqZb6x9z5Y8x6J
hg19_KSHV	50_2.7.0f	file-FbBz0Z80vyffYKvj8G3vKZFQ
hg19_KSHV	75_2.7.0f	file-FbBz1Q00vyfV4Bf4B087Pq3f
hg19	gtffile	file-FPpqzbj0xx3kjkvXK3v4KP18
hg19	annotategenes	file-FbFK50Q0xx3v2BZ6F0gBy10B
hg19	rrnalist	file-FQ843FQ0xx3q0857PBXqJfJF
hg19	rsemindex	file-FQ82Q1803Z5bgvy37bK9VQ11
hg19	refflat	file-FQ8436j0xx3Qb8y72q5XGXB9
hg19	100_2.6.0a	file-FQ5F2kj0xx3Vq35p9kYGkX2x
hg19	125_2.6.0a	file-FQ5FB5j0xx3xFZg77fG3Zffb
hg19	150_2.6.0a	file-FQ5G6f00xx3qj0PYGbvkXK1f
hg19	50_2.6.0a	file-FQ5FjJQ0xx3XF6k6J3b86P4X
hg19	75_2.6.0a	file-FQ5G72Q0xx3Xgg7xGxy27GQb
hg19	100_2.7.0f	file-Fb1XFb80y3JQ2K7F99p7fJyY
hg19	125_2.7.0f	file-Fb1XGf00y3JXPXyq933ZFfkx
hg19	150_2.7.0f	file-Fb1XJf80y3JQbZJj92J52fZ8
hg19	50_2.7.0f	file-Fb1X9f00y3JXPXyq933ZFfZP
hg19	75_2.7.0f	file-Fb1XBb80y3JfQZf693bj9zxG
hg38_HPV16	gtffile	file-FXKZJJ80xx3Yv6JQF36QZx7F
hg38_HPV16	annotategenes	file-FbFK64Q0xx3v2BZ6F0gBy11G
hg38_HPV16	rrnalist	file-FXP4vp80xx3gqgxg9bY21ffx
hg38_HPV16	rsemindex	file-FXKZk7Q0ZjYZ47P7FGVqqzG9
hg38_HPV16	refflat	file-FXKkf9j0xx3fFXK09b8VYKzZ
hg38_HPV16	100_2.6.0a	file-FXP14Y80xx3bV3V3KqfVv3pG
hg38_HPV16	125_2.6.0a	file-FXP16qQ0xx3qp6xQKpzKJ4gv
hg38_HPV16	150_2.6.0a	file-FXP19800xx3j6ygX4G7k4Z6G
hg38_HPV16	50_2.6.0a	file-FXP1FjQ0xx3XPqBK4kQZfKq1
hg38_HPV16	75_2.6.0a	file-FXP1K880xx3yz8pK9Zx9kB6v
hg38_HPV16	100_2.7.0f	file-FbF023Q0v2PPJKJ88G7g7y5B
hg38_HPV16	125_2.7.0f	file-FbF030j0v2PB4ggY9zFGZ97z
hg38_HPV16	150_2.7.0f	file-FbF03yQ0v2P4805G9ygQfFYv
hg38_HPV16	50_2.7.0f	file-FbF00900v2P4805G9ygQfFPy
hg38_HPV16	75_2.7.0f	file-FbF01500v2PGPJY38Fk6Y7vy
hg38	gtffile	file-FZzX8fj0xx3ygz1z4jGq6j1g
hg38	annotategenes	file-FbFKkyj0xx3Zp4zy9X6JkpQv
hg38	rrnalist	file-Fb04z8Q0xx3QXp4J3b1Q6ZKK
hg38	rsemindex	file-Fb04qB00y8qZZYPZKbVygyxy
hg38	refflat	file-Fb04zBj0xx3pb2Qk5B07137f
hg38	100_2.6.0a	file-FbFJg200xx3ZBP3x229FxZyF
hg38	125_2.6.0a	file-FbFJfyQ0xx3x8bB6Jpjjk5VQ
hg38	150_2.6.0a	file-FbFJg000xx3qQJK6Fb7xJ69Z
hg38	50_2.6.0a	file-FbFJfyQ0xx3qQJK6Fb7xJ69X
hg38	75_2.6.0a	file-FbFJg000xx3qJYfYFYz2783K
hg38	100_2.7.0f	file-Fb053280xx3ZvB9g0Q01QvQx
hg38	125_2.7.0f	file-Fb056j80xx3xfPqp1bVJQvxv
hg38	150_2.7.0f	file-Fb05J200xx3vzy5KP0Fz8V9P
hg38	50_2.7.0f	file-Fb04xK00xx3Yzb13K6ZY45q0
hg38	75_2.7.0f	file-Fb050J00xx3QzPPB4bGFv5X0
hg38_v28	gtffile	file-FPpv10Q0xx3V1QYg7qYG6FPG
hg38_v28	annotategenes	file-FbFJypQ0xx3xFX15PjvK7fqJ
hg38_v28	rrnalist	file-FQ844j00xx3xPP55PBqP4Z8X
hg38_v28	rsemindex	file-FQ82ZbQ0J29Z3kZF68Xy7bJ7
hg38_v28	refflat	file-FQ844YQ0xx3QQP139fZx934Z
hg38_v28	100_2.6.0a	file-FQ5F38Q0xx3zPGBG303jVQv4
hg38_v28	125_2.6.0a	file-FQ5F6yQ0xx3k0z308j5Yz1gZ
hg38_v28	150_2.6.0a	file-FQ5FBb80xx3y75q07f64G2Z8
hg38_v28	50_2.6.0a	file-FQ5FKP80xx3gf22z9YZp3jVF
hg38_v28	75_2.6.0a	file-FQ5FX0Q0xx3ZPBfvGxkGb9qY
hg38_v28	100_2.7.0f	file-FbBzz6Q00ggvPJY38Fk6Y7p5
hg38_v28	125_2.7.0f	file-FbF005Q00ggqV1y89zPFz3k5
hg38_v28	150_2.7.0f	file-FbF014800ggZ9GGV9zkPvx1P
hg38_v28	50_2.7.0f	file-FbBzx7Q00ggVPFKK4G4B878v
hg38_v28	75_2.7.0f	file-FbBzy4j00ggfYKvj8G3vKfF7
mm10_M18	gtffile	file-FPpjJJj0xx3pjXPvGzvq2zzj
mm10_M18	annotategenes	file-FbFJy500xx3XY6gY1BZ2qzG2
mm10_M18	rrnalist	file-FQ845vj0xx3xZ9f34gQ2PF1y
mm10_M18	rsemindex	file-FQ82YbQ0vQx06q2B4jvQqBP2
mm10_M18	refflat	file-FQ845q00xx3bkjkV594fkxk8
mm10_M18	100_2.6.0a	file-FQ5F3V80xx3v5kxK9Y1Z9B40
mm10_M18	125_2.6.0a	file-FQ5F6zj0xx3z1Xq67g4v17Yx
mm10_M18	150_2.6.0a	file-FQ5FB100xx3pxF7b7bvqF0XK
mm10_M18	50_2.6.0a	file-FQ5FJ8j0xx3y22z9FxvZ6f9J
mm10_M18	75_2.6.0a	file-FQ5FQP80xx3yxByq9XYb5Fzj
mm10_M18	100_2.7.0f	file-Fb0yF500ZvGGgGqyG3Y8X8fV
mm10_M18	125_2.7.0f	file-Fb0yG0Q0ZvGJpQj99B99GfGf
mm10_M18	150_2.7.0f	file-Fb0yGxQ0ZvGB78gb93bbGB3F
mm10_M18	50_2.7.0f	file-Fb0y9F80ZvG7vgxKKfkgq55b
mm10_M18	75_2.7.0f	file-Fb0yB8j0ZvGK65GQKfXv2qpP
mm10	gtffile	file-Fb03yvj0xx3zG3XQ8k1GXBvY
mm10	annotategenes	file-FbFQ7Q80xx3qkJJp5282yGZ5
mm10	rrnalist	file-Fb05BP00xx3gXfxPJgGQGJZY
mm10	rsemindex	file-Fb05x180v9gp78gb93bbF7yV
mm10	refflat	file-Fb052480xx3v7b4217Z3K35k
mm10	100_2.6.0a	file-FbFJQkj0xx3vjGXz9VQVJVGK
mm10	125_2.6.0a	file-FbFJQqQ0xx3pgp9zF1K67p7F
mm10	150_2.6.0a	file-FbFJQkQ0xx3vjGXz9VQVJVGG
mm10	50_2.6.0a	file-FbFJQkj0xx3vjGXz9VQVJVGQ
mm10	75_2.6.0a	file-FbFJQkQ0xx3j1xvP51GPxxjp
mm10	100_2.7.0f	file-Fb07p1j0xx3kXbFF4gVf0VXQ
mm10	125_2.7.0f	file-Fb07yx80xx3vZPX09xYQ2kK0
mm10	150_2.7.0f	file-Fb081bj0xx3qQ78zBX6GgP4B
mm10	50_2.7.0f	file-Fb07V3j0xx3xfPqp1bVJQy42
mm10	75_2.7.0f	file-Fb07Zk00xx3px4ZpJz1J7jBz
mm9	gtffile	file-FPpv3JQ0xx3kq4Q497KBqJJZ
mm9	annotategenes	file-FbFJvy80xx3v2BZ6F0gBy0bb
mm9	rrnalist	file-FQ845Q80xx3Z4J8x4gxk9K7G
mm9	rsemindex	file-FQ82gx80q36kgFYj7ZPGKk7Z
mm9	refflat	file-FQ845K00xx3ZF8qb1VGpFkGv
mm9	100_2.6.0a	file-FQ5F3Pj0xx3f2X7p94f67jf1
mm9	125_2.6.0a	file-FQ5F6Vj0xx3pxF7b7bvqF0Pp
mm9	150_2.6.0a	file-FQ5F9q00xx3jk6g59Xqg7222
mm9	50_2.6.0a	file-FQ5FJ300xx3Vq35p9kYGkXbx
mm9	75_2.6.0a	file-FQ5FQF00xx3y75q07f64G2bX
mm9	100_2.7.0f	file-Fb1VX4j04YBXPXyq933ZFbvV
mm9	125_2.7.0f	file-Fb1VXzQ04YBjYQFxKbkxKKjJ
mm9	150_2.7.0f	file-Fb1VYpj04YBgJ4Pz92bFBZ9F
mm9	50_2.7.0f	file-Fb1VQPQ04YBgvgxKKfkgvF9K
mm9	75_2.7.0f	file-Fb1VVF004YBqGYKZG2Bkj11F
Mmul_8.0.1	gtffile	file-FX37xg00xx3xkqpjBXXJP341
Mmul_8.0.1	annotategenes	file-FbFJqqQ0xx3g2vBF85qbYQkj
Mmul_8.0.1	rrnalist	file-FX380800xx3z2p6X8PZK48vb
Mmul_8.0.1	rsemindex	file-FX384b00PxXfb3BK7F4fB6zp
Mmul_8.0.1	refflat	file-FX37y400xx3ZjKpz8zyb8zYp
Mmul_8.0.1	100_2.6.0a	file-FX3J7780xx3kkx0zBYbF1vk0
Mmul_8.0.1	125_2.6.0a	file-FX3JBFQ0xx3g7bKQB9bzkQ0G
Mmul_8.0.1	150_2.6.0a	file-FX3JJY00xx3xzy5zBYQGqbPk
Mmul_8.0.1	50_2.6.0a	file-FX3JQpQ0xx3y0Y1x1XgzBqg4
Mmul_8.0.1	75_2.6.0a	file-FX3JYk00xx3gpgb3BX7Z62q0
Mmul_8.0.1	100_2.7.0f	file-FbBz5q00xXFXqyqbJBJqVvV3
Mmul_8.0.1	125_2.7.0f	file-FbBz6fj0xXFq2bj6231Y263V
Mmul_8.0.1	150_2.7.0f	file-FbBz7ZQ0xXFVGq8522kQ12K5
Mmul_8.0.1	50_2.7.0f	file-FbBz43Q0xXFv96zkPzk4kjX8
Mmul_8.0.1	75_2.7.0f	file-FbBz4zQ0xXFkbkGzPz4fY6QY
